Horodateur,Veuillez sélectionner votre catégorie d'âge.,Vous êtes :,"Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
",Notez ce paysage,Notez cette activité,Notez cette activité,Notez cette activité,Notez cette activité,Notez cette activité,Notez cette activité,Notez cette activité,Notez cette spécialité : la Choucroute,Notez cette spécialité : le Bœuf bourguignon ,Notez cette spécialité : Moules Frites,Notez cette spécialité : la Raclette,Notez cette spécialité : les Escargots ,Notez cette spécialité : les Galettes,Notez cette spécialité : Quiche Lorraine ,"En vacances, vous aimez rencontrer de nouvelles personnes","En  vacances, vous aimez passer vos journées à vous reposer  ","En  vacances, vous aimez passer vos soirées à faire la fête  ","En  vacances, vous aimez l'aventure ","En  vacances, vous aimez faire du sport ","En  vacances, vous aimez découvrir de nouvelles cultures ",Quelle est votre destination préférée en France ?,"Si vous souhaitez recevoir votre recommandation, merci de renseigner votre adresse mail :"
17/11/2022 22:50:07,46 et plus,Homme,Je n'aime pas du tout,Je n'aime pas du tout,Je n'aime pas du tout,Je n'aime pas du tout,Je n'aime pas du tout,Je n'aime pas du tout,J'adore,J'adore,J'adore,J'adore,Je n'aime pas du tout,J'adore,J'adore,J'adore,Je n'aime pas du tout,Je n'aime pas du tout,J'adore,J'adore,Je n'aime pas du tout,Je n'aime pas du tout,J'adore,Je n'aime pas du tout,J'adore,J'adore,J'adore,Je n'aime pas du tout,Tout à fait d'accord,Ne sait pas,Tout à fait d'accord,Pas du tout d'accord,Tout à fait d'accord,Pas du tout d'accord,Mulhoise,
17/11/2022 22:57:17,26-35,Femme,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,Je n'aime pas trop,J'aime bien,Bof,J'aime bien,Bof,J'aime bien,Bof,J'aime bien,J'aime bien,J'aime bien,Pas d'accord,Pas d'accord,Pas d'accord,Tout à fait d'accord,D'accord,D'accord,Les Landes ,
18/11/2022 11:00:48,46 et plus,Homme,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,Tout à fait d'accord,D'accord,Ne sait pas,D'accord,Tout à fait d'accord,Tout à fait d'accord,Bretagne ,
18/11/2022 12:20:04,18-25,Homme,J'aime bien,J'aime bien,J'adore,Bof,J'adore,J'adore,J'aime bien,J'aime bien,Bof,Bof,J'aime bien,J'aime bien,J'adore,Je n'aime pas trop,Je n'aime pas du tout,J'aime bien,J'aime bien,Bof,J'aime bien,Bof,J'aime bien,J'adore,J'adore,Bof,Bof,Bof,Tout à fait d'accord,D'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,D'accord,Montpellier ,
18/11/2022 21:05:33,46 et plus,Femme,J'adore,J'adore,J'adore,J'aime bien,J'aime bien,J'adore,J'aime bien,Bof,Bof,J'aime bien,J'adore,J'adore,Bof,Bof,J'aime bien,Je n'aime pas trop,Je n'aime pas du tout,J'aime bien,J'aime bien,Je n'aime pas du tout,J'adore,Bof,Bof,Je n'aime pas trop,J'aime bien,Bof,D'accord,D'accord,Pas d'accord,Tout à fait d'accord,D'accord,D'accord,La Corse,
18/11/2022 21:56:48,36-45,Homme,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'aime bien,Bof,J'adore,J'adore,J'adore,Bof,J'adore,J'adore,J'adore,J'aime bien,J'adore,Bof,Je n'aime pas du tout,J'adore,J'aime bien,Bof,Je n'aime pas du tout,J'aime bien,J'adore,Ne sait pas,Pas d'accord,D'accord,Tout à fait d'accord,Tout à fait d'accord,D'accord,La Corse,
21/11/2022 11:26:26,36-45,Femme,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,J'aime bien,J'aime bien,J'adore,J'adore,J'aime bien,Je n'aime pas du tout,J'aime bien,J'aime bien,J'aime bien,J'adore,J'adore,J'aime bien,J'aime bien,J'adore,J'adore,Je n'aime pas du tout,Bof,Je n'aime pas trop,Tout à fait d'accord,D'accord,Pas d'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,Colmar- Carcassonne ,
21/11/2022 11:28:14,26-35,Femme,J'adore,J'adore,J'adore,Bof,J'adore,J'aime bien,J'aime bien,Bof,J'adore,J'adore,J'adore,J'adore,Bof,J'adore,Bof,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,Bof,Bof,Bof,J'aime bien,J'aime bien,Tout à fait d'accord,Pas d'accord,Ne sait pas,Tout à fait d'accord,Ne sait pas,Tout à fait d'accord,Nice,
21/11/2022 13:30:23,46 et plus,Femme,J'aime bien,J'aime bien,J'adore,J'aime bien,J'adore,J'adore,Je n'aime pas trop,J'adore,J'aime bien,J'adore,J'aime bien,J'aime bien,J'adore,Je n'aime pas du tout,J'aime bien,J'aime bien,J'aime bien,J'adore,J'aime bien,J'aime bien,Bof,J'adore,J'aime bien,J'aime bien,J'aime bien,Bof,Ne sait pas,D'accord,D'accord,Pas d'accord,D'accord,Tout à fait d'accord,La côte Atlantique ,
21/11/2022 14:32:12,26-35,Femme,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'adore,J'adore,J'adore,Bof,Bof,Bof,Bof,J'aime bien,J'aime bien,Bof,J'adore,J'adore,J'aime bien,J'aime bien,Je n'aime pas trop,Bof,D'accord,D'accord,Pas d'accord,D'accord,D'accord,D'accord,La Corse,
21/11/2022 14:40:05,46 et plus,Femme,J'aime bien,J'aime bien,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,Je n'aime pas trop,J'aime bien,Je n'aime pas trop,Je n'aime pas trop,J'aime bien,J'aime bien,Je n'aime pas trop,Je n'aime pas trop,J'aime bien,J'aime bien,Je n'aime pas du tout,Bof,Bof,Ne sait pas,D'accord,Pas d'accord,Ne sait pas,Pas d'accord,Tout à fait d'accord,Camargue ,
21/11/2022 16:00:28,46 et plus,Femme,J'aime bien,J'aime bien,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,Bof,J'aime bien,J'adore,J'adore,J'aime bien,Bof,Je n'aime pas du tout,J'aime bien,J'aime bien,Je n'aime pas du tout,J'aime bien,J'adore,J'aime bien,Je n'aime pas trop,J'aime bien,J'aime bien,Bof,J'adore,J'aime bien,D'accord,Pas d'accord,Pas d'accord,D'accord,Pas d'accord,D'accord,La Corse ,
21/11/2022 20:27:25,46 et plus,Femme,J'aime bien,J'adore,J'adore,Bof,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,Bof,J'adore,J'adore,Bof,J'adore,Bof,J'adore,J'aime bien,J'aime bien,J'adore,Bof,J'adore,J'adore,D'accord,Pas d'accord,Pas d'accord,D'accord,D'accord,Tout à fait d'accord,Pau,
22/11/2022 07:06:11,46 et plus,Femme,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'aime bien,J'adore,J'aime bien,J'aime bien,J'adore,J'aime bien,J'adore,Je n'aime pas trop,Je n'aime pas du tout,Je n'aime pas trop,Je n'aime pas du tout,Je n'aime pas trop,J'adore,J'aime bien,Je n'aime pas du tout,Je n'aime pas du tout,J'adore,J'aime bien,J'aime bien,J'adore,Je n'aime pas du tout,D'accord,D'accord,Ne sait pas,Tout à fait d'accord,Pas du tout d'accord,Tout à fait d'accord,Auvergne ,
23/11/2022 10:36:53,26-35,Femme,J'aime bien,J'aime bien,J'adore,J'aime bien,J'adore,J'aime bien,Bof,Bof,Bof,J'aime bien,J'adore,J'aime bien,Bof,Je n'aime pas trop,Bof,J'aime bien,Je n'aime pas trop,J'aime bien,J'aime bien,Je n'aime pas du tout,J'aime bien,Je n'aime pas du tout,Bof,Je n'aime pas du tout,Je n'aime pas du tout,Je n'aime pas du tout,Ne sait pas,Pas d'accord,D'accord,Tout à fait d'accord,D'accord,D'accord,Biarritz,
24/11/2022 12:42:31,18-25,Femme,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,Je n'aime pas trop,J'aime bien,J'aime bien,Bof,Bof,J'adore,J'aime bien,J'adore,J'aime bien,Bof,Bof,J'aime bien,J'adore,J'adore,Je n'aime pas du tout,Je n'aime pas du tout,J'adore,J'aime bien,Je n'aime pas du tout,Bof,J'adore,D'accord,D'accord,Tout à fait d'accord,Ne sait pas,Pas d'accord,D'accord,Nice,
24/11/2022 16:33:01,18-25,Femme,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'adore,J'aime bien,J'aime bien,J'aime bien,J'aime bien,Bof,Je n'aime pas trop,J'adore,J'adore,Je n'aime pas du tout,Je n'aime pas du tout,Je n'aime pas du tout,Je n'aime pas du tout,J'aime bien,J'aime bien,Je n'aime pas du tout,D'accord,Tout à fait d'accord,Pas d'accord,Tout à fait d'accord,Ne sait pas,Tout à fait d'accord,Perpignan,
25/11/2022 10:35:24,46 et plus,Femme,J'aime bien,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'adore,J'adore,Je n'aime pas trop,Je n'aime pas du tout,J'aime bien,Je n'aime pas trop,J'aime bien,J'adore,J'adore,J'aime bien,J'aime bien,J'adore,J'adore,J'adore,J'adore,J'aime bien,Pas d'accord,Pas d'accord,D'accord,D'accord,Ne sait pas,D'accord,Le var,
25/11/2022 10:49:59,46 et plus,Femme,J'aime bien,J'adore,J'adore,Je n'aime pas trop,J'aime bien,J'aime bien,Je n'aime pas trop,J'aime bien,Bof,Bof,J'adore,J'adore,Je n'aime pas trop,Je n'aime pas trop,Bof,Je n'aime pas trop,J'aime bien,J'aime bien,J'adore,Bof,J'aime bien,J'aime bien,J'aime bien,Je n'aime pas du tout,J'aime bien,J'aime bien,D'accord,D'accord,Ne sait pas,Ne sait pas,Pas d'accord,D'accord,Languedoc Roussillon,
25/11/2022 11:03:02,36-45,Femme,J'adore,J'aime bien,J'adore,J'aime bien,J'aime bien,J'aime bien,J'adore,J'aime bien,J'aime bien,Bof,J'adore,J'aime bien,J'adore,Je n'aime pas du tout,Je n'aime pas trop,Je n'aime pas trop,Bof,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'adore,Bof,J'aime bien,J'aime bien,Ne sait pas,Tout à fait d'accord,Pas d'accord,Pas d'accord,Pas d'accord,D'accord,Saint-Jean-de-Luz,
25/11/2022 11:29:12,36-45,Femme,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,J'aime bien,J'aime bien,J'adore,J'adore,J'adore,J'aime bien,Bof,J'adore,J'adore,J'aime bien,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,Pas d'accord,Pas d'accord,Pas du tout d'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,L'Aiguille du Midi (Haute-Savoie),
25/11/2022 15:57:47,46 et plus,Femme,J'aime bien,J'adore,J'adore,Je n'aime pas trop,J'adore,J'aime bien,Je n'aime pas trop,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,Je n'aime pas trop,J'aime bien,J'aime bien,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'aime bien,D'accord,Pas d'accord,Ne sait pas,D'accord,D'accord,Tout à fait d'accord,La Charente Maritime,
25/11/2022 16:31:13,46 et plus,Femme,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,Je n'aime pas trop,J'adore,J'aime bien,J'adore,J'adore,J'adore,Je n'aime pas du tout,J'aime bien,Je n'aime pas trop,J'adore,Je n'aime pas du tout,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,Pas d'accord,Pas d'accord,Pas d'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,Barcarès ,
